freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
0.25,0,0,-5.1704526686769810876599756510968e-14,-1.6418695333883599621686790077792e-13,0,0,-2.8491747125492018901386188411745e-10,4.1648647845313174678509375218512e-11,0,0,7.7054365350189019966083757210947e-11,-6.4805568315160796814025204276398e-11,-3.5803785382953531115539333171426e-16,5.2337234441113695086810182151158e-17,0,0,9.6829371244471085864332238267936e-17,-8.1437078932248248622809159315202e-17
0.25,0,0,-5.5911685680766713982864696432393e-14,-1.9465559980276322589129336620326e-13,0,0,-3.3335300842720706508838718778217e-10,4.351973266332657225654486420432e-11,0,0,6.4602281107035562373117242727152e-11,-6.6983641871178271073804938366643e-11,-4.1890374493078803537009222208263e-16,5.4688508968519405567565487294796e-17,0,0,8.1181620692402246760140892731281e-17,-8.4174126885273327208196417984857e-17
0.25,0,0,-6.0273375812938451267271273529381e-14,-2.3012864193753072793350805690893e-13,0,0,-3.860055801760196928381048705163e-10,4.4731456725806646749028060124615e-11,0,0,4.1184557772247665043296251448192e-11,-6.858817515466151888438387733738e-11,-4.8506891797025971601874696609185e-16,5.6211206333665562120240243059867e-17,0,0,5.1754041655455075799624944985956e-17,-8.6190442875605835754556258123921e-17
0.25,0,0,-6.4708737978633604133133739029036e-14,-2.7089783166158036134966753307267e-13,0,0,-4.4003500400521009854157880835908e-10,4.494996145869623952134908552485e-11,0,0,3.024866003804593324330815845168e-12,-6.948930190038370664665145582593e-11,-5.5296429436204930210951083301579e-16,5.6485787479113774553155176610827e-17,0,0,3.8011587262584097984882998809001e-18,-8.7322832141331486399633177225225e-17
0.25,0,0,-6.9099869336392461911708758175578e-14,-3.1686878060541369668379936524967e-13,0,0,-4.9034209189900049999049396940408e-10,4.3759775675580932711215671381138e-11,0,0,-5.3702974477530266214050259449553e-11,-6.9598922185484675525567702859033e-11,-6.1618204546230040876494265261205e-16,5.4990155914056949576661256825495e-17,0,0,-6.7485148037811689832682462606837e-17,-8.7460585054274530985518737074002e-17
0.25,0,0,-7.328458612068710950063209725097e-14,-3.673074934440045597785545977166e-13,0,0,-5.2899985811116391483855893977119e-10,4.0685172841772597509544283361991e-11,0,0,-1.3183047425055507637417540123053e-10,-6.8915021123341425688503699210262e-11,-6.6476082719683013148135149884061e-16,5.1126496043897504245079605086846e-17,0,0,-1.6566305976992088278788996455633e-16,-8.6601169633229935370750791747291e-17
0.25,0,0,-7.7052959779906741736155325758776e-14,-4.2055419104666738980006708777048e-13,0,0,-5.4525666301241647748250708792371e-10,3.5247718001645561564329999099324e-11,0,0,-2.3149048755359028582597134138113e-10,-6.7574044047121752989675185151707e-11,-6.8518973073627715937054913980197e-16,4.4293588771909756812678464441205e-17,0,0,-2.9089952602971147000487698737857e-16,-8.4916048140716307123886566388898e-17
0.25,0,0,-8.0151830343410491606960252419005e-14,-4.7379277908071918050364015031512e-13,0,0,-5.2677998228905114833513741233288e-10,2.7071462377604399161660815706787e-11,0,0,-3.4797644200879471135767263641398e-10,-6.5894684474194463654764567308203e-11,-6.6197124896697772875289260538964e-16,3.4019002930965784417686614017577e-17,0,0,-4.3728009353485762438491887879867e-16,-8.2805702661898681143653385676082e-17
0.25,0,0,-8.2301986205723825592223699619173e-14,-5.2302993613578520667356670823173e-13,0,0,-4.6271675129653083166378330224526e-10,1.6031521517823106763729464092391e-11,0,0,-4.7001658712865126834957902885858e-10,-6.4383392769701313192960190118132e-11,-5.8146701862644663706924740089346e-16,2.0145804090503904577297923105572e-17,0,0,-5.9064026287548706347322530208709e-16,-8.0906557495391938879426311229152e-17
0.25,0,0,-8.3230834115279579833590071630046e-14,-5.6346250019001347754325774616824e-13,0,0,-3.4835400892099538366406643473047e-10,2.4101808254474810903803392608721e-12,0,0,-5.7995897296674705653052713855882e-10,-6.3667697180339442172675807409292e-11,-4.3775455810990093737195685050212e-16,3.0287225500195157564884023892682e-18,0,0,-7.2879793954232548972581606216314e-16,-8.0007187893093585797005083417298e-17
