freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
0.25,-1.7969113316604417851047456911911e-23,-7.3176298243925116871327870423162e-26,-2.934578905381570404920909406199e-07,-1.1950596416023510610102111595692e-09,5.2835925442036281591504493198707e-09,-1.0611677353935066155165532759891e-11,2.3228730905142143804524568206915e-05,-2.00757991829420561962713789525e-07,-1.4223495475618763305546651556745e-21,1.2292881604857518544717460761919e-23,0,0,2.9190084145523495554554833498979e-11,-2.5227993291229892992737713243709e-13,-1.7873771557828628359044722002107e-27,1.5447690616507794058317494513544e-29,0,0
0.25,-8.7171825897467050728144073457308e-27,3.8854306572198605225482118923478e-27,3.2873946716595064463375789015108e-11,-3.164532579124920946710000936056e-11,-7.9755552655977078755997554527273e-12,-4.2261778456679388529178148838975e-12,2.3601524126206614422966283692654e-08,-1.9199913501939547053277824550759e-08,4.7879931324003877755275656667135e-24,-3.8351596554525880420461411726588e-24,-3.7473740235301933769543024462267e-24,5.0848364914524882979074169136291e-24,2.9658549923365178781700787684442e-14,-2.4127322882901105035344730671422e-14,6.0167696200749757699778166073841e-30,-4.8194037595655248711554867450167e-30,-4.7090890810302722370511956181337e-30,6.3897939865009750510094506493829e-30
0.25,-1.2664514614089855378358671931135e-28,9.5178858117466119990145439936541e-28,4.7862281375559043925344534833919e-13,-2.7382403283248872463060995689303e-12,-1.1612247366654665294582543389579e-12,4.4431923470751638897124360313321e-13,-6.3073972959482232449097667979825e-11,-4.5525525084489558816557022388229e-09,-1.1316112084051582546402683007079e-25,-9.856887223169269521191479228124e-25,3.7604754314492341061228299234744e-25,5.0228771792146708196121798660552e-25,-7.9261092032892253810598827579877e-17,-5.7209062062500092695327762065275e-15,-1.4220245836182053318653628154163e-31,-1.2386529795028669697212335763055e-30,4.7255527957783285806551372072109e-31,6.311933618441852833962749191725e-31
0.25,1.1613960442259915364127666660781e-28,1.4314150727330568389584990367627e-28,1.4476686217652071137653936921036e-14,-7.4877540808057537365447590797902e-13,-8.2393408713591642398957353616828e-14,2.465980562889041138014947385048e-13,-7.2687131128612165146140790345712e-10,-1.1484134512935599634256533243745e-09,-1.7633696393717123812082880591321e-25,-1.5565007109715948059388106430593e-25,9.4300270116223745682530377260903e-26,-3.0854812256501221631910443093454e-26,-9.1341342865666371305992205443886e-16,-1.4431389047470188327075142909922e-15,-2.2159156418453814756966789206861e-31,-1.9559564795582610031895334884937e-31,1.1850121433146464711557352093328e-31,-3.8773300605166619927201399598754e-32
0.25,3.629251921091491206598283299995e-29,2.3141083193648060676669368655574e-29,-4.2752349865544118211760564106454e-14,-3.5229803690656707920017608824439e-13,2.0616832970956950243451151151409e-14,8.4098501696529331734652775361984e-14,-4.1125720946713863942486253307007e-10,-3.7797671909178788585907957512972e-10,-5.9844504492736400306833181772934e-26,-2.4731680206103284412477270207091e-26,2.7692600851244170389494717559295e-27,-1.9807210863139622853186973012762e-26,-5.1680105119912058606051039477625e-16,-4.7497955357069345509353236202685e-16,-7.5202822268840807773989186408615e-32,-3.1078745938570467899391148103063e-32,3.479954855722525463735989851014e-33,-2.4890475254297353279581993018123e-32
0.25,1.2383561842406528939516938570052e-29,1.0208283990786176060640906836349e-29,-6.0015778086400257994578248551298e-14,-1.8012982117518264316798326741032e-13,1.9736988697042244039743169467062e-14,3.3520867786655787018442961695423e-14,-2.3501141048917685347615433531776e-10,-1.4312319095605019397916294852122e-10,-2.2483376993113661953045831909891e-26,-8.8836110424034007834547749593406e-27,-3.224030212824457695060070515929e-27,-3.2811960637196192692302363658691e-27,-2.953240482810292869448704593926e-16,-1.7985390610634255263438141807295e-16,-2.8253444795782263408965950250551e-32,-1.1163474875265474359835518950688e-32,-4.0514358526243409561446639596766e-33,-4.1232725795077211199125464902165e-33
0.25,7.3901363056159086454370474063612e-30,5.8650348158781935651432283557394e-30,-5.4928813991239975477355955318127e-14,-9.0198279913340894217496604388921e-14,1.4025471010461669126786964889165e-14,1.4942678868478078537642638959699e-14,-1.3802997367668915357525451922884e-10,-4.9045400237286854729274577531975e-11,-1.1549467227141286017256187553962e-26,-3.9728961124706079153241488784714e-27,-1.0523223010490893388086159117266e-27,-1.2403743690498507374414593677603e-28,-1.7345358051115165281543639472418e-16,-6.163226763113259585934955090028e-17,-1.451348855746525604679768046099e-32,-4.9924884961652437666893936179982e-33,-1.3223872040738102267187296295533e-33,-1.5587004022032344468771145562615e-34
0.25,5.2373791827469372534748714103238e-30,2.7337655965179747263104604619757e-30,-4.2386453695384066430872016814822e-14,-4.2842487779401501214512401313895e-14,9.5332648687116092278932401137856e-15,6.4257565765429365334360280787609e-15,-7.9703937477758543046893612223655e-11,-9.9905871201499295728393217320546e-12,-6.4812956612811038196854250292245e-27,-1.1324203006952033236941649433641e-27,-1.9234873943317128642310472794506e-28,3.7402817726553167371678451402801e-29,-1.0015892177692256928154954440592e-16,-1.2554542040684729288468230386993e-17,-8.1446363340896456822387907328201e-33,-1.4230413189759979891328863153574e-33,-2.4171255469220327003019440670661e-34,4.7001766957319005702621469260847e-35
0.25,3.5798675429034676170332525269573e-30,9.5831177110022037860638772140458e-31,-2.9873374598923925563243354521703e-14,-1.8597453635352355205323016227846e-14,6.1712026603173107087401824797849e-15,2.3363266418752135397750906797546e-15,-4.4436637300398731373143293817956e-11,4.3398786039368965357292729150551e-12,-3.4632613290430249860758049086617e-27,9.5538538880859959698702160041735e-29,-2.8542109206335624594264674775279e-29,-3.9921917132294124690493379921445e-29,-5.584072531726673269171995136904e-17,5.4536522958398724273761591306261e-18,-4.3520625395132758277369740630208e-33,1.2005726875312497899585101739385e-34,-3.5867072240232635856968694717119e-35,-5.0167360632014279412189136170424e-35
0.25,2.3541222157357856568756645322946e-30,1.2132523584776315471634662148761e-31,-1.9891102312258240262863925272888e-14,-6.7263418763091549195872663267535e-15,3.7987373226785578410974475331188e-15,4.8680861917583980570202985422274e-16,-2.3686706003407909265702904343622e-11,7.9353937499986743301325485865701e-12,-1.7092836835967830298885122622951e-27,4.0997883455714114037581217473368e-28,-1.6276329548885161782838998529125e-29,-5.3773688607933898264294883129567e-29,-2.9765592627219012269228700137188e-17,9.9719098833352773384853288185998e-18,-2.1479492253154214791959092985215e-33,5.1519459790880787026391914492048e-34,-2.0453438935273638608327528385808e-35,-6.7574010034844110225752009418563e-35
