freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
0.25,9.104575273146693761299877881152e-15,3.9614693637541873273777933636092e-14,-5.3728636827859109894748591688788e-14,-1.6476925448997916276195828592498e-13,1.1017612645855203996995669108069e-15,3.6750355789677856258917813286738e-15,-2.2566555252406859956600736997757e-10,2.7560879903240267129571002043478e-11,-5.3617228894105870727775047192133e-11,-3.5533790122566162274854964568395e-13,-5.3804370800920122650673069313054e-11,-3.5197430235693975872441190536459e-11,-2.8357969679115820678405973696042e-16,3.4634023132196073590085403663403e-17,-6.7377396959826149171114728199319e-17,-4.4653077601302153899288349503472e-19,-6.7612566415676736995426028941678e-17,-4.4230395301478179576754857797042e-17
0.25,9.089706872287694764438489111154e-15,4.530401322378706259953361846451e-14,-5.6618995978492528173366071553415e-14,-1.8889718752067666275529349460857e-13,1.1127175987976944344061001359944e-15,4.2306380980965788198437858757668e-15,-2.4913429446385621796590533432022e-10,2.7004923671377527404647111693923e-11,-6.1629610291537201724739769857141e-11,-1.228923691148659639717775601509e-12,-8.5667328668427070880717072397633e-11,-3.5784386672414102194112736324727e-11,-3.1307138769797078119156003863529e-16,3.393538792670109559284755680148e-17,-7.7446052374198060820824323567961e-17,-1.5443110559740324423916021122212e-18,-1.0765274015895709564531513350107e-16,-4.4967986513309055183704131696133e-17
0.25,8.9738035638080399942090578891215e-15,5.1804600723110278953986897450288e-14,-5.9417792933492500757333263209696e-14,-2.1530983218908008710217992969226e-13,1.1171943582343481715424433833901e-15,4.8804901652981110493407773560537e-15,-2.692836112357356405044080380803e-10,2.5642946793315979656184195622843e-11,-7.0911890183441527159323868094659e-11,-2.3362445486057280586005159025539e-12,-1.2882988569507543636781637411365e-10,-3.6048702640755313134051126189297e-11,-3.3839176591612674051789184099162e-16,3.2223877304910169317394836203991e-17,-8.9110509300986421688412772941087e-17,-2.9358114843555828344376813958289e-18,-1.61892408984984716916867661795e-16,-4.5300135755055945574753939442368e-17
0.25,8.7302001019315083003074463447507e-15,5.9226941497627247278955477752116e-14,-6.2033477187148061641605191551797e-14,-2.4350196733417269059159676357624e-13,1.1124787120969413017753408475116e-15,5.6368946039735562135458456986351e-15,-2.8187918694908940104176341084712e-10,2.3256077058574132067432789370107e-11,-8.1531034855775694690208378759895e-11,-3.7344352677438522017933332913617e-12,-1.8533559151644760230947210508996e-10,-3.6014846107701752198786761988044e-11,-3.5421983316764926745420650498545e-16,2.9224448335413846555854723336151e-17,-1.0245492005699130041432576330211e-16,-4.6928297609802865758715788383784e-18,-2.3289957310271623333900476842849e-16,-4.5257590380849106348149763331485e-17
0.25,8.325913962367694725546437116225e-15,6.7677994385791810335461124281084e-14,-6.4351960451545962729007622742322e-14,-2.724647172849547695911525843137e-13,1.0950988490145141296108635071713e-15,6.5111508943988745229297576892425e-15,-2.8087751226655050159209664399997e-10,1.9623072561271270229994510440329e-11,-9.345489855398068707267592028433e-11,-5.4951550871672090174723728709364e-12,-2.5629342218074545105105980122534e-10,-3.5782887309872724605221479682722e-11,-3.5296109163806880326788828297304e-16,2.4659080239739706075495113787483e-17,-1.1743888909566602392588181555212e-16,-6.9054155408724331035268326633261e-18,-3.2206781291456689115845976741018e-16,-4.496610235877103275422911717431e-17
0.25,7.7202500515194785939728323512578e-15,7.7247842012436331628439075204041e-14,-6.6238400038814002535905617709297e-14,-3.0050558985764258785534158007419e-13,1.0606542476733111756966660861196e-15,7.5116049326533580325216116396994e-15,-2.5849732306755441721543154231556e-10,1.4568974958581564968124870572942e-11,-1.0648769967229171024021302472011e-10,-7.7062831337154115594849189368575e-12,-3.4072709006312373855791176146428e-10,-3.5561741302304691423957366062236e-11,-3.2483731644866249910119284783456e-16,1.8307913880085402050056161653128e-17,-1.3381638999525915039280743560062e-16,-9.6840009917453068541209133957405e-18,-4.2817028920853492764904284688417e-16,-4.4688202089672455097729874514645e-17
0.25,6.8633744552217402459612931275245e-15,8.799033075758760929367983922107e-14,-6.7545282262535992690174664406385e-14,-3.2511047222027579484824596117721e-13,1.0036518013443806203918366381737e-15,8.6409956393774820418885574849826e-15,-2.0608664291535369363053513064115e-10,8.0454572620144497926503862024131e-12,-1.2019715023720859894023839356991e-10,-1.0472116714702546633748933617308e-11,-4.3410086591906130887335361292383e-10,-3.5694977943050714576729197571785e-11,-2.589761133543432426468270321202e-16,1.0110219771646097807840011865807e-17,-1.5104419366705726055729819623992e-16,-1.3159649975377759807464634818162e-17,-5.4550723651531637337448412350082e-16,-4.4855632190375127548107049676205e-17
0.25,5.6950782313422166200874774661176e-15,9.9898437448041735956877701069258e-14,-6.8129959150819890117208589438853e-14,-3.429489615654945958752287875103e-13,9.1738289816379647531328088708218e-16,9.8933942984107375806100051938128e-15,-1.1622947259597476607603326384239e-10,2.4088561563773445152302612069572e-13,-1.338556196092261222024554342803e-10,-1.39107713890792801451069981056e-11,-5.2700425172533854345235829701568e-10,-3.6659053311760749414090214306616e-11,-1.4605826289525219238311286961624e-16,3.027057921771844557789402052354e-19,-1.6820793248242184044447184507494e-16,-1.7480790880679420134273204782758e-17,-6.622530742523637840143263971863e-16,-4.6067125028713657721238711545235e-17
0.25,4.1440723394986732544418589385001e-15,1.1287800547962092422568532024418e-13,-6.7883689800835455846719489026169e-14,-3.5015396637558042083710175505076e-13,7.9389057833488873310418247115194e-16,1.1251490758272622596710601505779e-14,1.384537849626180325738247118303e-11,-8.302349947251977597393552865378e-12,-1.4643434446049706170234817005155e-10,-1.8147386641582175864597416035676e-11,-6.0498249490420231354604463499744e-10,-3.9008164857858857241108979358021e-11,1.7398615748010470090070919588152e-17,-1.0433040640727367598395024591669e-17,-1.8401482431613389310888013926348e-16,-2.2804678622019244303613223938037e-17,-7.6024342461658646176474217051105e-16,-4.9019105658987560908775345352935e-17
0.25,2.1282416014366266959237297126516e-15,1.2672724689615753448747235788828e-13,-6.6770649224989029855572540248396e-14,-3.4296940317314531494886015403714e-13,6.240795975908808680842575074564e-16,1.268540145345585480615270589091e-14,1.7846666345942505420621570981867e-10,-1.6614011043246029916398367939257e-11,-1.5669596918821818092716330362988e-10,-2.3302340305951852097494455442391e-11,-6.5071452916292748229514981248727e-10,-4.3248733718914862953436675525182e-11,2.2426782353392467834581873007437e-16,-2.0877782016048568799950555387555e-17,-1.9690996225953553440890399059399e-16,-2.9282584446651066421586639960763e-17,-8.1771199376095753914151167149673e-16,-5.4347961651361644961351301516532e-17
